Query,Type,Source,Count,Response,First Seen,Last Seen
"smtp.ifuriosi.it","A","A",1,62.149.128.202,"2019-10-26, 00:00","2020-08-19, 23:59"
"smtp.ifuriosi.it","A","A",1,62.149.128.203,"2019-10-26, 00:00","2020-08-19, 23:59"
"smtp.ifuriosi.it","A","A",1,62.149.128.201,"2019-10-26, 00:00","2020-08-19, 23:59"
"smtp.ifuriosi.it","A","A",1,62.149.128.200,"2019-10-26, 00:00","2020-08-19, 23:59"
"ifuriosi.it","A","B",5,151.5.112.10,"2019-10-15, 00:39","2020-09-27, 11:25"
"mx.ifuriosi.it","A","D",19,62.149.128.72,"2019-05-07, 17:54","2020-11-08, 02:12"
"mx.ifuriosi.it","A","D",19,62.149.128.74,"2019-05-07, 17:54","2020-11-08, 02:12"
"mx.ifuriosi.it","A","D",19,62.149.128.151,"2019-05-07, 17:54","2020-11-08, 02:12"
"mx.ifuriosi.it","A","D",19,62.149.128.154,"2019-05-07, 17:54","2020-11-08, 02:12"
"mx.ifuriosi.it","A","D",19,62.149.128.157,"2019-05-07, 17:54","2020-11-08, 02:12"
"mx.ifuriosi.it","A","D",19,62.149.128.160,"2019-05-07, 17:54","2020-11-08, 02:12"
"mx.ifuriosi.it","A","D",19,62.149.128.163,"2019-05-07, 17:54","2020-11-08, 02:12"
"mx.ifuriosi.it","A","D",19,62.149.128.166,"2019-05-07, 17:54","2020-11-08, 02:12"
"mail.ifuriosi.it","A","A",1,62.149.128.166,"2019-04-30, 00:00","2019-04-30, 23:59"
"mail.ifuriosi.it","A","A",1,62.149.128.157,"2019-04-30, 00:00","2019-04-30, 23:59"
"mail.ifuriosi.it","A","A",1,62.149.128.154,"2019-04-30, 00:00","2019-04-30, 23:59"
"mail.ifuriosi.it","A","A",1,62.149.128.163,"2019-04-30, 00:00","2019-04-30, 23:59"
"mail.ifuriosi.it","A","A",1,62.149.128.74,"2019-04-30, 00:00","2019-04-30, 23:59"
"mail.ifuriosi.it","A","A",1,62.149.128.151,"2019-04-30, 00:00","2019-04-30, 23:59"
"mail.ifuriosi.it","A","A",1,62.149.128.160,"2019-04-30, 00:00","2019-04-30, 23:59"
"ifuriosi.it","A","D",325,151.5.112.10,"2019-02-19, 21:33","2020-12-02, 05:21"
"ifuriosi.it","A","A",1,151.5.112.10,"2019-01-09, 00:00","2020-12-04, 23:59"
"www.ifuriosi.it","A","D",441,151.5.112.10,"2018-11-01, 17:02","2020-12-04, 08:06"
"www.ifuriosi.it","A","A",1,151.5.112.10,"2018-10-23, 00:00","2020-12-04, 23:59"
"ifuriosi.it","A","D",2,151.1.253.82,"2018-10-15, 05:24","2018-10-15, 05:24"
"ifuriosi.it","A","A",1,151.1.253.82,"2018-10-13, 00:00","2018-10-13, 23:59"
"www.ifuriosi.it","A","D",26,151.1.253.82,"2018-10-09, 15:09","2018-10-12, 04:11"
"ifuriosi.it","A","B",1,151.1.253.82,"2018-10-09, 10:09","2018-10-09, 10:09"
"www.ifuriosi.it","A","A",1,151.1.253.82,"2018-10-07, 00:00","2018-10-21, 23:59"
"ifuriosi.it","A","B",1,62.149.128.151,"2018-07-18, 06:13","2018-07-18, 06:13"
"ifuriosi.it","A","B",1,62.149.128.154,"2018-07-18, 06:13","2018-07-18, 06:13"
"ifuriosi.it","A","B",1,62.149.128.157,"2018-07-18, 06:13","2018-07-18, 06:13"
"ifuriosi.it","A","B",1,62.149.128.160,"2018-07-18, 06:13","2018-07-18, 06:13"
"ifuriosi.it","A","B",1,62.149.128.163,"2018-07-18, 06:13","2018-07-18, 06:13"
"ifuriosi.it","A","B",1,62.149.128.166,"2018-07-18, 06:13","2018-07-18, 06:13"
"mx.ifuriosi.it","A","A",1,62.149.128.72,"2018-07-18, 00:00","2020-12-01, 23:59"
"mx.ifuriosi.it","A","A",1,62.149.128.154,"2018-07-18, 00:00","2020-12-01, 23:59"
"mx.ifuriosi.it","A","A",1,62.149.128.74,"2018-07-18, 00:00","2020-12-01, 23:59"
"mx.ifuriosi.it","A","A",1,62.149.128.151,"2018-07-18, 00:00","2020-12-01, 23:59"
"mx.ifuriosi.it","A","A",1,62.149.128.157,"2018-07-18, 00:00","2020-12-01, 23:59"
"mx.ifuriosi.it","A","A",1,62.149.128.163,"2018-07-18, 00:00","2020-12-01, 23:59"
"mx.ifuriosi.it","A","A",1,62.149.128.166,"2018-07-18, 00:00","2020-12-01, 23:59"
"mx.ifuriosi.it","A","A",1,62.149.128.160,"2018-07-18, 00:00","2020-12-01, 23:59"
"www.ifuriosi.it","A","A",1,62.149.128.40,"2018-07-18, 00:00","2018-07-18, 23:59"
